U2OS WT_NT	ALC1 KO_NT	U2OS WT_OP	ALC1 KO_OP
14.9851632	22.55192878	27.74480712	99.85163205
20.6231454	18.10089021	37.68545994	94.95548961
17.65578635	24.48071217	28.78338279	102.8189911
20.3264095	19.88130564	31.00890208	85.16320475
16.32047478	24.48071217	24.18397626	74.18397626
17.65578635	21.21661721	27.89317507	98.96142433
14.09495549	19.43620178	21.21661721	110.8308605
12.90801187	22.25519288	24.48071217	68.24925816
13.79821958	16.76557864	21.95845697	58.30860534
19.43620178	20.77151335	15.13353116	78.48664688
19.73293769	19.73293769	15.28189911	85.0148368
14.24332344	25.07418398	18.69436202	115.727003
21.95845697	18.99109792	18.99109792	57.41839763
18.99109792	21.81008902	18.84272997	85.0148368
14.6884273	24.03560831	20.77151335	79.08011869
14.54005935	17.65578635	18.84272997	64.39169139
19.43620178	15.87537092	17.5074184	81.15727003
12.90801187	18.99109792	21.81008902	65.43026706
17.35905045	18.84272997	14.83679525	79.08011869
20.02967359	17.21068249	19.13946588	82.04747774
18.84272997	18.99109792	25.96439169	84.12462908
13.05637982	23.14540059	22.10682493	65.28189911
20.02967359	22.25519288	21.81008902	78.18991098
17.8041543	21.21661721	25.81602374	58.45697329
11.27596439	19.73293769	26.70623145	68.24925816
18.10089021	18.24925816	19.88130564	168.2492582
13.20474777	21.36498516	19.88130564	47.47774481
17.65578635	16.91394659	23.14540059	59.49554896
14.54005935	20.91988131	24.48071217	51.48367953
11.12759644	19.13946588	19.73293769	90.9495549
18.39762611	21.36498516	27.89317507	52.52225519
16.17210682	21.81008902	24.48071217	83.08605341
18.84272997	23.7388724	24.48071217	91.09792285
17.95252226	20.77151335	26.85459941	61.27596439
15.87537092	15.57863501	30.11869436	85.0148368
17.8041543	17.65578635	21.81008902	56.37982196
16.76557864	22.99703264	24.77744807	47.47774481
21.81008902	20.3264095	20.77151335	40.50445104
16.32047478	18.54599407	22.25519288	87.98219585
12.90801187	19.43620178	22.70029674	95.25222552
16.91394659	21.21661721	20.6231454	102.8189911
16.61721068	21.81008902	27.74480712	67.35905045
17.65578635	16.91394659	25.81602374	104.8961424
19.13946588	22.70029674	22.99703264	100.8902077
21.21661721	17.06231454	26.70623145	41.69139466
14.83679525	18.99109792	25.22255193	100.8902077
22.10682493	15.87537092	25.66765579	71.21661721
20.3264095	21.81008902	20.02967359	38.57566766
23.88724036	25.66765579	29.6735905	75.22255193
20.3264095	21.66172107	29.6735905	134.5697329
18.99109792	19.43620178	23.7388724	90.05934718
15.87537092	21.66172107	22.70029674	52.52225519
13.50148368	21.81008902	25.81602374	41.54302671
17.35905045	15.13353116	17.8041543	40.65281899
14.9851632	16.91394659	18.54599407	70.6231454
15.13353116	18.84272997	15.13353116	74.33234421
17.21068249	17.8041543	34.56973294	43.62017804
14.83679525	23.14540059	24.77744807	41.54302671
15.87537092	15.57863501	33.67952522	36.64688427
20.91988131	16.91394659	29.97032641	34.56973294
15.87537092	18.69436202	29.6735905	37.68545994
12.90801187	20.77151335	25.66765579	40.65281899
19.13946588	22.84866469	35.0148368	27.15133531
16.91394659	15.13353116	15.57863501	23.88724036
15.57863501	22.55192878	31.60237389	73.14540059
17.95252226	20.3264095	31.89910979	57.56676558
15.13353116	15.87537092	34.71810089	36.64688427
13.20474777	16.91394659	25.66765579	40.50445104
16.61721068	23.4421365	26.70623145	55.6379822
11.27596439	14.83679525	24.03560831	66.32047478
13.79821958	23.88724036	37.68545994	44.51038576
14.39169139	16.17210682	31.60237389	52.37388724
11.8694362	17.06231454	53.41246291	51.48367953
