WT_noXray_noOP	KO_noXray_noOP	WT_Xray_noOP	KO_Xray_noOP	WT_Xray_OP	KO_Xray_OP
15.87537092	17.35905045	14.09495549	18.54599407	17.8041543	31.00890208
13.79821958	18.24925816	21.81008902	21.51335312	21.21661721	33.08605341
14.39169139	17.8041543	18.39762611	16.46884273	19.28783383	27.89317507
16.32047478	15.87537092	20.47477745	17.06231454	17.21068249	25.37091988
15.28189911	11.8694362	16.91394659	17.65578635	18.39762611	25.81602374
17.8041543	13.79821958	19.73293769	16.02373887	15.28189911	32.78931751
14.83679525	19.73293769	17.8041543	22.25519288	15.28189911	31.15727003
11.12759644	15.87537092	17.35905045	18.84272997	16.91394659	35.16320475
12.31454006	14.39169139	17.35905045	18.24925816	16.32047478	30.41543027
14.83679525	15.87537092	19.28783383	19.58456973	16.76557864	26.2611276
13.35311573	15.43026706	13.79821958	19.73293769	14.9851632	31.30563798
16.32047478	15.28189911	18.39762611	20.77151335	22.84866469	26.2611276
17.35905045	11.8694362	14.39169139	16.76557864	14.83679525	30.56379822
14.39169139	14.39169139	14.83679525	15.72700297	15.87537092	28.33827893
14.83679525	12.31454006	17.35905045	14.83679525	16.02373887	32.1958457
14.39169139	19.73293769	15.87537092	17.65578635	20.77151335	30.11869436
13.35311573	17.35905045	16.32047478	18.99109792	16.17210682	27.15133531
18.84272997	14.83679525	17.5074184	16.32047478	18.39762611	27.44807122
16.76557864	11.42433234	23.14540059	20.77151335	17.8041543	33.67952522
13.35311573	15.87537092	18.39762611	17.21068249	18.54599407	28.78338279
14.83679525	13.79821958	17.8041543	22.10682493	20.02967359	30.26706231
13.79821958	17.8041543	16.76557864	19.88130564	16.61721068	30.56379822
15.43026706	15.28189911	16.76557864	23.4421365	18.99109792	30.11869436
14.39169139	14.39169139	17.35905045	18.24925816	16.32047478	34.56973294
16.32047478	15.28189911	15.43026706	16.91394659	17.95252226	32.4925816
15.87537092	13.79821958	16.91394659	17.35905045	18.84272997	29.6735905
13.35311573	15.28189911	14.39169139	16.61721068	17.5074184	28.18991098
19.73293769	20.3264095	13.64985163	17.5074184	21.81008902	28.18991098
17.8041543	22.70029674	18.84272997	18.39762611	20.3264095	26.11275964
17.35905045	14.39169139	13.79821958	16.91394659	17.5074184	24.92581602
18.24925816	14.83679525	20.91988131	20.3264095	16.46884273	29.22848665
15.28189911	19.28783383	14.09495549	17.35905045	18.84272997	31.00890208
15.87537092	15.28189911	18.99109792	19.73293769	19.28783383	30.11869436
16.32047478	14.39169139	17.35905045	18.39762611	22.84866469	25.66765579
17.35905045	15.87537092	13.79821958	12.90801187	15.57863501	39.16913947
11.8694362	16.32047478	17.35905045	17.8041543	20.02967359	31.60237389
15.87537092	14.83679525	14.83679525	18.39762611	18.84272997	25.22255193
11.12759644	16.32047478	16.32047478	15.43026706	23.7388724	25.66765579
14.83679525	13.79821958	12.16617211	16.46884273	20.17804154	37.68545994
14.39169139	15.87537092	13.94658754	21.36498516	26.40949555	23.7388724
15.28189911	18.39762611	15.87537092	18.39762611	18.24925816	35.90504451
14.83679525	18.24925816	14.24332344	18.24925816	17.95252226	32.78931751
13.94658754	14.83679525	18.24925816	18.10089021	23.29376855	33.23442136
15.43026706	15.28189911	16.76557864	16.76557864	22.70029674	35.3115727
14.39169139	16.76557864	20.47477745	14.6884273	17.95252226	32.4925816
13.35311573	13.94658754	18.24925816	13.64985163	20.3264095	39.46587537
13.35311573	15.43026706	15.57863501	17.5074184	16.91394659	32.34421365
15.28189911	13.35311573	17.06231454	18.39762611	21.66172107	24.18397626
17.06231454	14.39169139	15.87537092	12.61127596	19.88130564	36.20178042
12.31454006	13.35311573	14.83679525	9.792284866	20.3264095	34.12462908
17.35905045	10.38575668	16.32047478	19.43620178	20.3264095	31.45400593
16.17210682	10.38575668	17.8041543	19.43620178	19.43620178	36.94362018
15.28189911	15.43026706	16.76557864	17.5074184	20.77151335	30.71216617
20.02967359	13.79821958	29.22848665	28.63501484	21.81008902	56.23145401
23.7388724	11.8694362	17.35905045	27.74480712	25.22255193	86.79525223
18.39762611	12.31454006	17.8041543	26.2611276	20.3264095	77.59643917
